Picto Name	Effect	Health	Defense	Speed	Critical Rate	Map and Nearest Flag	How to Get
Dodger	Gain 1 AP after Perfect Dodge. Once per turn.			12	3%	Spring Meadows (Meadows Corridor)	Defeat the Portier after Lune joins the party.
Critical Burn	25% increased Critical Chance on Burning Enemies			8	6%	Spring Meadows (Meadows Corridor)	After getting Lanceram, look for a path on the right that leads to a small cave.
Augmented Attack	50% increased Base Attack damage		8	10		Spring Meadows (Meadows Corridor)	Defeat the Chromatic Lancelier after learning about flying enemies.
Burning Shots	20% Chance to burn on free Aim Shot			15	25%	Spring Meadows (Abandoned Expeditioner)	From the campsite, go through the cave path until you're outside, and then head left towards the cliff.
Dead Energy II	+3 AP on killing an enemy			4	9%	Spring Meadows (Abandoned Expeditioner)	From the campsite, go through the cave path. When you're outside, turn right and follow the path.
Cleansing Tint	Healing Tints also remove all Status Effects from the target	778	319			Spring Meadows (The Indigo Tree)	Defeat Eveque, the boss of the area, to get this Pictos.
Empowering Attack	Gain Powerful for 1 turn on Base Attack			12	3%	Spring Meadows (The Indigo Tree)	Instead of leaving Spring Meadows after the Eveque fight, turn around and follow the path on the right.
SOS Shell	Apply Shell when falling below 50% Health		13	14		Flying Waters (Before Any Flag)	Immediately upon loading the map, enter the path to the left of the anchor. The Pictos is on the ground at the end of the path.
Marking Shots	20% Chance to apply Mark on Free Aim shot			26	2%	Flying Waters (Before Any Flag)	Follow the path beyond the Paint Cage to reach a fork that is marked with several lanterns on the ground. Head left at the fork and defeat the two enemies at the end of the path. The Pictos is on the ground just past those enemies.
Exposing Attack	Base Attack applies Defenceless for 1 turn			20	4%	Flying Waters (Noco's Hut)	After Gustave and Lune extract Maelle from the Manor, speak with the Gestral Merchant who appears in front of the hut. Fight and defeat that merchant to add this Pictos to their wares.
Staggering Attack	50% Increased Break Damage on Base Attack			21	4%	Flying Waters (Coral Cave)	Pass the Flag and immediately look to the right to find this Pictos on the ground.
Rewarding Mark	+2 AP on dealing damage to a Marked target. Once per turn.		20	7		Flying Waters (Coral Cave)	(1) Players will encounter a mass from which several lanterns extend just past the Expedition Flag. After passing that mass, players should look for a short ramp on their left, which leads to an alcove with this Pictos. (2) Buy from Merchant for 53,880 Chroma from Sacred River.
Augmented Counter I	25% increased Counterattack damage	563			7%	Flying Waters (Coral Cave)	Players can now climb the aforementioned two-handhold wall and follow the path forward. Before reaching the buildings on this path, players should enter a small corridor on their right and fight the Bourgeon that they encounter to obtain the Pictos, weapon, and quest item.
Energising Break	+3 AP on Breaking a target.			14	7%	Flying Waters (Lumieran Street)	This Pictos is on the ground just past the Chromatic Troubadour.
