journal_name	zone_name	summary
Expedition 81	Spring Meadows	Main story cutscene in Spring Meadows; unmissable.
Expedition 68	Flying Waters	On the illuminated path near the second Paint Cage; check for the crystal.
Expedition 53	The Small Bourgeon	After speaking to the Small Bourgeon, go west deeper into the cave; the journal is at the end.
Expedition 63	Ancient Sanctuary	From the Sanctuary Maze flag, take the west path downhill; the journal is near some corpses.
Expedition 52	Gestral Village	On the way to the arena, look left of the arena sign for a short side passage to the journal.
Expedition 66	Esquie’s Nest	Late in the main quest, after Esquie knocks over a pillar, grapple across to the nearby abandoned camp.
Expedition 62	The Continent/World Map	On the world map directly north of Gestral Village; clear the rocks after completing Esquie’s Nest.
Expedition 38	Yellow Harvest	At Harvester's Hollow, head east and go up the slope; the journal is in the area surrounded by blue lamps.
Expedition 44	Yellow Harvest	From the slope leading to Expedition 38's journal, continue straight north to blue-lit Nevron corpses.
Expedition 59	Yellow Harvest	Near the Yellow Spire Wrecks checkpoint, head directly west; the journal is by a large hardened mass.
Expedition 78	Stone Wave Cliffs	At the entrance, before fighting the Hexga, go the opposite way and climb the hidden rope to the upper area.
Expedition 56	Stone Wave Cliffs	After the first cultists, follow the path ahead; the journal is at the base of a streetlight.
Expedition 50	Stone Wave Cliffs	From the Paintress Shrine checkpoint, go north past the nearby Rocher; the journal is by discarded lamps.
Expedition 45	Crushing Cavern	After defeating the Giant Sapling, climb the rope behind it and take the side path on your left to the journal.
Expedition 64	The Continent/World Map	After unlocking Esquie’s swim ability in Act 2, swim south near The Meadows; the journal is by the canvas campground.
Expedition 54	Stone Wave Cliffs Cave	Behind the Chromatic Hexga boss; either defeat it or sprint behind it to grab the journal.
Expedition 41	Forgotten Battlefield	From Vanguard Point, climb down the cannon, go north to the Fading Woman, then take the east path into the trenches.
Expedition 57	Forgotten Battlefield	From Vanguard Point, go north past the Fading Woman, past the Paint Cage, then east; it's near the expeditioner with a trumpet head.
Expedition 48	Stone Quarry	Head east on the world map from the Forgotten Battlefield to reach Stone Quarry; the journal is in this small area.
Expedition 65	Monoco's Station	Near the eastern exit toward the snowy mountains, face the exit and look left for the journal by former Expeditioners.
Expedition 51	Frozen Hearts	After Monoco’s Station, enter Frozen Hearts, cross the tracks, and go behind the snow-covered train into the small cave.
Expedition 47	The Continent/World Map	Unverified: your scraper found no matching IGN description for this journal.
Expedition 58	Old Lumiere	Found during a cutscene in Old Lumiere; unmissable.
Fracture Survivor	Old Lumiere	On Left Street while playing as Maelle and Verso, go right onto the brick protrusion, jump into the hole, and open the door with the Old Key.
Expedition 42	Old Lumiere	From Manor Gardens, take the east path, follow the light trail uphill, slide down the rope past the Paint Cage, and check the base of the golden blade.
Renoir	Old Lumiere (Manor Entrance)	After reentering Old Lumiere post-story, go forward from Manor Gardens, enter the broken Manor door, then check the bedroom nightstand.
Expedition 34	The Crows	In the optional area on the far northwestern world map, the journal is straight ahead from the entrance.
Expedition 35	Falling Leaves	Before the bosses, right at the bridge; you can grab it without fighting them.
Expedition 49	Falling Leaves	Speak with the Fading Boy, complete the Lady in Sap side quest, return when he moves, then go through the door; it's on your left after the stairs.
Expedition 36	White Tree	In this one-screen area west of the Act 1 mainland; the journal is in the crystal.
Expedition 43	The Continent/World Map	Once Esquie can swim through coral, go east of the Stone Wave Cliffs Cave; the journal is in the open near a tough enemy.
Expedition 55	Sirene	From the Dancing Classes checkpoint, go up the east stairs and look right for the glowing crystal.
Expedition 67	Sirene	From the Crumbling Path checkpoint, defeat Glissando, take the elevator behind it, and check directly across from where it lands.
Unknown	Visages	In Anger Vale, find the blue-lit cavern in the far west, go right at the fork, enter the door, then head south into the next room inside the manor.
Expedition 39	Visages	In Sadness Vale, head to the far northwest and climb to the highest point; the journal is by a former Expedition camp.
Expedition 69	Visages	In Joy Vale, head west from the flag, climb the slope, then look left for a small campground among fallen Expeditioners.
Expedition 40	The Continent/World Map	On the small island northeast of Visages while heading to the Monolith; it's near the Gestral Merchant.
Aline	The Monolith	In Tainted Battlefield, turn left at the grave replica among the yellow trees, enter the Manor door, and check the center of the greenhouse.
Expedition 70	The Monolith	From the tree in Tainted Lumiere, head west, grapple across two gaps, defeat the enemies, and check around the destroyed building.
Expedition 60	Lumiere	In Act 3 outside the Opera House, go to the northwest ledge and fish the journal from the water.
Expedition 37	Gestral Beach	After gaining flight, visit the eastern Gestral Beach and go directly right on arrival.
Expedition 46	Sirene's Dress	Raise Lune relationship to 5, visit after Act 3 starts, then go straight north and defeat the Chromatic Glissando; the journal is behind it.
Julie	The Continent/World Map	Once Esquie can fly, land on the ledge west of the Forgotten Battlefield; the journal is near the tents on your left.
Verso	The Continent/World Map	In the same area as Julie’s journal, go behind the tent and farther south by the destroyed building.
Expedition 84	The Fountain	At the first fork in The Fountain, take the left path to the end; no combat is required.
Unknown	The Canvas	Get the Dessendre painting in The Canvas, place it on the blank canvas in The Manor, then enter the newly opened far north room.
Unknown	The Reacher	After the Ladder Area checkpoint, drop to the bottom, look west for the Manor door, and enter it.
Expedition 61	The Reacher	As you continue climbing after the Foggy Area checkpoint, the journal is before the Peak checkpoint; use the balloon back down if needed.
Simon	Renoir's Drafts	Defeat Simon in Renoir’s Drafts; the journal appears in the center of the arena.
